Time,Length,Pressure,Force
12017,0.0,0.603,0.00
16072,4.7,0.609,23.20
20541,10.4,0.619,63.20
22777,13.2,0.626,85.80
24992,14.9,0.63,98.50
27206,17.9,0.637,124.80
29064,19.6,0.637,138.30
31878,22.5,0.637,162.20
33778,24.9,0.636,182.80
35712,27.5,0.637,206.00
38009,29.6,0.636,224.20
39995,31.7,0.637,243.40
41688,34.3,0.637,268.90
44055,37.1,0.636,294.80
46368,39.5,0.636,318.10
48704,42.0,0.636,344.70
52293,44.3,0.636,367.60
54577,41.5,0.608,311.50
56732,39.4,0.599,283.40
58564,36.9,0.6,259.00
60942,34.7,0.6,238.40
63199,31.8,0.599,211.40
65554,29.3,0.599,189.70
67968,26.3,0.6,165.10
69899,24.6,0.6,150.60
71743,22.0,0.599,129.30
73807,19.7,0.598,110.60
77512,14.7,0.599,73.30
79230,12.4,0.599,56.40
81300,9.5,0.598,35.90
83183,7.3,0.599,22.40
85171,4.9,0.599,8.40
87013,2.5,0.598,1.20
92542,-0.1,0.6,6.60
