Time,Length,Pressure,Force
1838,0.0,0.6,0.0
3491,2.5,0.602,8.6
5185,5.0,0.604,19.4
6792,7.3,0.608,31.9
8406,9.9,0.614,48.3
10003,12.1,0.62,63.1
11719,14.8,0.63,83.9
13359,17.3,0.637,105.0
14996,19.5,0.637,121.8
16493,21.7,0.64,140.6
18301,24.5,0.637,163.2
20005,26.7,0.637,183.0
22262,29.3,0.637,206.6
23820,26.8,0.613,170.1
25675,24.2,0.602,143.6
27370,21.7,0.602,123.5
28800,19.3,0.6,104.8
30245,16.9,0.599,86.7
31883,14.5,0.6,70.5
33321,12.1,0.599,53.9
34895,9.6,0.6,38.3
36414,7.7,0.599,26.4
38031,4.9,0.599,11.3
39629,2.6,0.599,3.4
43778,0.0,0.6,0.0
