Time,Length,Pressure,Force
2416,0.0,0.401,0.0
4241,3.2,0.402,13.3
5764,6.2,0.401,26.4
7323,8.3,0.402,35.7
8744,10.7,0.402,47.3
10698,13.0,0.404,58.7
12452,15.3,0.405,70.8
14393,18.1,0.407,85.4
15910,20.3,0.407,97.6
17657,23.1,0.411,113.8
19123,25.4,0.415,128.2
20761,28.0,0.42,145.0
22338,30.2,0.422,159.7
23797,33.0,0.428,179.2
25154,35.2,0.433,195.8
26529,38.1,0.44,219.3
28364,40.4,0.444,237.8
29943,38.0,0.433,212.9
33118,32.8,0.415,170.6
34495,30.1,0.405,150.5
36191,27.8,0.401,135.5
37388,25.4,0.396,120.5
39463,23.2,0.4,110.0
40922,20.7,0.399,95.7
42476,18.3,0.4,83.8
44049,15.7,0.4,70.9
45760,13.2,0.4,58.0
47354,10.6,0.4,45.0
48965,8.2,0.4,32.9
50501,5.7,0.401,21.3
52222,3.6,0.4,11.6
57649,0.0,0.401,0.1
