Time,Length,Pressure,Force
6828,0.0,0.593,3.7
9627,4.0,0.594,5.4
11958,6.7,0.594,14.4
14282,9.0,0.596,23.7
16357,11.7,0.596,34.9
18651,14.2,0.596,46.1
20604,17.0,0.596,60.0
22894,19.6,0.596,72.3
25135,22.2,0.596,85.9
27273,24.6,0.594,98.1
29749,28.0,0.596,116.8
32461,31.0,0.596,133.5
36217,33.7,0.596,148.9
38370,31.2,0.596,132.5
41251,28.2,0.596,115.2
43822,25.8,0.594,101.5
46393,23.3,0.594,87.9
49185,20.6,0.596,74.2
51871,18.3,0.594,62.2
54683,15.8,0.596,49.9
57775,13.7,0.594,39.7
59392,11.2,0.596,28.1
60388,11.3,0.594,28.7
64384,8.1,0.596,15.1
67276,5.4,0.596,5.2
70050,3.3,0.594,0.0
72026,0.9,0.594,3.4
77502,-1.9,0.596,5.2
