Time,Length,Pressure,Force
2,0.00,0.201,0.00
3,0.00,0.201,0.00
3,0.00,0.201,0.00
4,0.00,0.201,0.00
4,0.00,0.201,0.00
5,0.00,0.201,0.00
6,0.00,0.201,0.00
7,0.00,0.202,0.00
7,0.00,0.201,0.00
8,0.00,0.201,0.00
8,0.00,0.201,0.00
9,0.00,0.201,0.00
9,0.00,0.201,0.00
9,0.00,0.201,0.00
27,0.00,0.201,0.00
48,0.00,0.201,0.00
66,0.00,0.201,0.00
85,0.00,0.201,0.00
105,0.00,0.201,0.00
113,0.00,0.201,0.00
144,0.00,0.201,0.00
160,0.00,0.201,0.00
175,0.00,0.201,0.00
206,0.00,0.2,0.00
227,0.00,0.2,0.00
244,0.00,0.2,0.00
265,0.00,0.2,0.00
282,0.00,0.2,0.00
297,0.00,0.201,0.00
316,0.00,0.201,0.00
346,0.00,0.201,0.00
361,0.00,0.2,0.00
376,0.00,0.201,0.00
395,0.00,0.2,0.00
424,0.00,0.2,0.00
445,0.00,0.2,0.00
465,0.00,0.2,0.00
486,0.00,0.2,0.00
506,0.00,0.201,0.00
515,0.00,0.2,0.00
529,0.00,0.201,0.00
561,0.00,0.201,0.00
578,0.00,0.201,0.00
600,0.00,0.2,0.00
624,0.00,0.201,0.00
646,0.00,0.201,0.00
666,0.00,0.201,0.00
687,0.00,0.2,0.00
699,0.00,0.201,0.00
713,0.00,0.2,0.00
729,0.00,0.2,0.00
760,0.00,0.2,0.00
776,0.00,0.2,0.00
792,0.00,0.2,0.00
823,0.00,0.2,0.00
840,0.00,0.201,0.00
867,0.00,0.201,0.00
883,0.00,0.2,0.00
904,0.00,0.2,0.00
915,0.00,0.2,0.10
929,0.00,0.2,0.00
961,0.00,0.2,0.00
976,0.00,0.201,0.00
992,0.00,0.201,0.00
1023,0.00,0.2,0.00
1039,0.00,0.2,0.00
1055,0.00,0.201,0.00
1083,0.00,0.2,0.00
1105,0.00,0.2,0.00
1125,0.00,0.201,0.00
1145,0.00,0.201,0.00
1164,0.00,0.2,0.00
1177,0.00,0.2,0.00
1193,0.00,0.2,0.00
1209,0.00,0.2,0.00
1243,0.00,0.2,0.00
1256,0.00,0.201,0.00
1271,0.00,0.2,0.00
1305,0.00,0.2,0.00
1325,0.00,0.201,0.00
1346,0.00,0.2,0.00
1362,0.00,0.2,0.00
1378,0.00,0.201,0.00
1398,0.00,0.2,0.00
1412,0.00,0.201,0.00
1442,0.00,0.2,0.00
1465,0.00,0.2,0.00
1479,0.00,0.2,0.00
1506,0.00,0.2,0.00
1522,0.00,0.2,0.00
1542,0.00,0.2,0.00
1562,0.00,0.2,0.00
1580,0.00,0.2,0.00
1594,0.00,0.2,0.00
1618,0.00,0.2,0.00
1641,0.00,0.2,0.00
1656,0.00,0.201,0.00
1672,0.00,0.2,0.00
1688,0.00,0.2,0.00
1719,0.00,0.2,0.00
1743,0.00,0.2,0.00
1763,0.00,0.2,0.00
1784,0.00,0.2,0.00
1798,0.00,0.2,0.00
1812,0.00,0.2,0.00
1830,0.00,0.2,0.00
1859,0.00,0.2,0.00
1875,0.00,0.2,0.00
1891,0.00,0.2,0.00
1922,0.00,0.2,0.00
1937,0.00,0.2,0.00
1965,0.00,0.201,0.00
1978,0.00,0.2,0.00
2001,0.00,0.2,0.00
2021,0.00,0.2,0.00
2028,0.00,0.2,0.00
2060,0.00,0.2,0.00
2075,0.00,0.2,0.00
2092,0.00,0.2,0.00
2124,0.00,0.2,0.00
2138,0.00,0.2,0.00
2154,0.00,0.2,0.00
2182,0.00,0.2,0.00
2202,0.00,0.2,0.00
2222,0.00,0.2,0.00
2229,0.00,0.2,0.00
2261,0.00,0.2,0.00
2276,0.00,0.2,0.00
2292,0.00,0.2,0.00
2309,0.00,0.2,0.00
2339,0.00,0.2,0.00
2355,0.00,0.201,0.00
2370,0.00,0.2,0.00
2403,0.00,0.2,0.00
2422,0.00,0.2,0.00
2444,0.00,0.2,0.00
2464,0.00,0.2,0.00
2479,0.00,0.2,0.00
2493,0.00,0.2,0.00
2509,0.00,0.2,0.00
2540,0.00,0.2,0.00
2556,0.00,0.2,0.00
2572,0.00,0.2,0.00
2603,0.00,0.2,0.00
2623,0.00,0.2,0.00
2640,0.00,0.2,0.10
2660,0.10,0.2,0.20
2679,0.20,0.2,0.30
2693,0.20,0.2,0.50
2708,0.30,0.2,0.50
2741,0.40,0.2,0.50
2759,0.60,0.201,0.60
2771,0.70,0.2,0.70
2787,0.80,0.201,0.70
2818,0.90,0.201,0.80
2841,1.10,0.201,0.90
2861,1.20,0.2,1.20
2877,1.40,0.2,1.40
2896,1.50,0.201,1.50
2909,1.70,0.2,1.60
2940,1.80,0.2,1.80
2958,1.90,0.201,2.00
2972,2.00,0.201,2.10
2989,2.10,0.201,2.10
3019,2.20,0.201,2.20
3042,2.30,0.201,2.40
3062,2.40,0.201,2.50
3080,2.60,0.201,2.60
3094,2.70,0.201,2.80
3110,2.80,0.201,3.00
3125,2.90,0.201,3.20
3159,3.00,0.201,3.50
3173,3.10,0.202,3.70
3188,3.20,0.201,3.90
3220,3.40,0.201,4.10
3238,3.50,0.202,4.30
3259,3.60,0.202,4.60
3279,3.70,0.202,4.90
3294,3.90,0.202,5.30
3308,4.00,0.202,5.60
3340,4.10,0.202,5.90
3355,4.20,0.202,6.20
3371,4.20,0.202,6.50
3391,4.30,0.202,6.70
3420,4.30,0.202,6.80
3440,4.30,0.202,6.80
3459,4.40,0.202,6.90
3480,4.40,0.203,7.00
3494,4.40,0.202,7.10
3520,4.50,0.203,7.10
3540,4.50,0.203,7.20
3556,4.60,0.203,7.40
3572,4.70,0.203,7.70
3587,4.80,0.203,8.00
3619,4.90,0.203,8.40
3634,5.00,0.203,8.80
3660,5.10,0.203,9.10
3681,5.20,0.205,9.30
3700,5.20,0.205,9.60
3711,5.30,0.203,9.80
3741,5.30,0.203,10.00
3756,5.40,0.205,10.20
3772,5.40,0.205,10.40
3788,5.50,0.205,10.60
3819,5.50,0.205,10.80
3834,5.60,0.205,11.00
3850,5.60,0.205,11.20
3881,5.70,0.205,11.30
3898,5.70,0.205,11.50
3918,5.70,0.205,11.70
3928,5.80,0.205,11.90
3958,5.80,0.205,12.10
3978,5.90,0.205,12.30
3994,5.90,0.206,12.60
4006,6.00,0.205,12.70
4037,6.00,0.205,12.90
4053,6.10,0.205,13.20
4069,6.10,0.206,13.40
4094,6.20,0.206,13.70
4110,6.30,0.206,14.00
4128,6.40,0.206,14.30
4160,6.50,0.206,14.70
4177,6.60,0.207,15.20
4194,6.70,0.206,15.80
