Time,Length,Pressure,Force,ms_right_model,,encoder_true,encoder_true_while_experiment,,,
0,197.4,0.013,0,141.228,,179.4,,,,
0,197.4,0.015,0,141.246,,179.4,,,,
0,197.4,0.021,0,141.257,,179.4,,,,
0,197.4,0.036,0,141.286,,179.4,,,,
0,197.4,0.016,0,141.337,,179.4,,,,
0,197.4,0.011,0,141.375,,179.4,,,,
0,197.4,0.013,0,141.4,,179.4,,,,
8,197.4,0.019,0,141.441,,179.4,,,,
9,197.4,0.036,0,141.45,,179.4,,,,
25,197.4,0.02,0,141.503,,179.4,,,,
47,197.4,0.014,0,141.537,,179.4,,,,
65,197.4,0.014,0,141.55,,179.4,,,,
80,197.4,0.015,0,141.573,,179.4,,,,
104,197.4,0.036,0,141.593,,179.4,,,,
119,197.4,0.024,0,141.622,,179.4,,,,
148,197.4,0.014,0,141.641,,179.4,,,,
167,197.4,0.015,0,141.658,,179.4,,,,
189,197.4,0.018,0,141.691,,179.4,,,,
206,197.4,0.035,0,141.722,,179.4,,,,
226,197.4,0.02,0,141.758,,179.4,,,,
246,197.4,0.014,0,141.777,,179.4,,,,
267,197.4,0.015,0,141.815,,179.4,,,,
288,197.4,0.015,0,141.854,,179.4,,,,
308,197.4,0.033,0,141.87,,179.4,,,,
326,197.4,0.024,0,141.895,,179.4,,,,
341,197.4,0.013,0,141.919,,179.4,,,,
364,197.4,0.015,0,141.933,,179.4,,,,
383,197.4,0.015,0,141.972,,179.4,,,,
406,197.4,0.032,0,142.006,,179.4,,,,
416,197.4,0.027,0,142.045,,179.4,,,,
445,197.4,0.014,0,142.076,,179.4,,,,
465,197.4,0.014,0,142.104,,179.4,,,,
487,197.4,0.016,0,142.133,,179.4,,,,
505,197.4,0.033,0,142.169,,179.4,,,,
520,197.4,0.03,0,142.19,,179.4,,,,
537,197.4,0.014,0,142.226,,179.4,,,,
566,197.4,0.013,0,142.246,,179.4,,,,
585,197.4,0.018,0,142.292,,179.4,,,,
606,197.4,0.033,0,142.331,,179.4,,,,
623,197.4,0.027,0,142.342,,179.4,,,,
647,197.4,0.014,0,142.381,,179.4,,,,
