Time,Length,Pressure,Force
45,191.30,-0.009,0.00
45,191.30,0.004,0.00
59,191.30,0.042,0.00
79,191.30,0.002,0.00
96,191.30,-0.008,0.00
120,191.30,-0.009,0.00
128,191.30,0.0,0.00
161,191.30,0.042,0.00
177,191.30,0.007,0.00
193,191.30,-0.009,0.00
210,191.30,-0.011,0.00
227,191.30,-0.007,0.00
264,191.30,0.041,0.00
275,191.30,0.011,0.00
291,191.30,-0.009,0.00
306,191.30,-0.011,0.00
337,191.30,-0.008,0.00
353,191.30,0.04,0.00
377,191.30,0.015,0.00
396,191.30,-0.008,0.00
419,191.30,-0.012,0.00
440,191.30,-0.007,0.00
457,191.30,0.041,0.00
480,191.30,0.03,0.00
500,191.30,-0.008,0.00
513,191.30,-0.014,0.00
533,191.30,-0.008,0.00
559,191.30,0.03,0.00
580,191.30,0.032,0.00
597,191.30,-0.009,0.00
614,191.30,-0.015,0.00
629,191.30,-0.008,0.00
661,191.30,0.027,0.00
678,191.30,0.036,0.00
698,191.30,-0.008,0.00
713,191.30,-0.014,0.00
739,191.30,-0.008,0.00
754,191.30,0.02,0.00
778,191.30,0.038,0.00
794,191.30,-0.007,0.00
809,191.30,-0.013,0.00
826,191.30,-0.008,0.00
857,191.30,0.018,0.00
873,191.30,0.03,0.00
889,191.30,-0.003,0.00
919,191.30,-0.007,0.00
929,191.30,-0.003,0.00
961,191.30,0.013,0.00
977,191.30,0.031,0.00
1000,191.30,-0.003,0.00
1018,191.30,-0.006,0.00
1034,191.30,-0.003,0.00
1058,191.30,0.01,0.00
1067,191.30,0.031,0.00
1101,191.30,0.007,0.00
1120,191.30,-0.004,0.00
1135,191.30,-0.006,0.00
1156,191.30,0.009,0.00
1178,191.30,0.031,0.00
1198,191.30,0.008,0.00
1219,191.30,-0.004,0.00
1238,191.30,-0.004,0.00
1258,191.30,0.002,0.00
1278,191.30,0.03,0.00
1292,191.30,0.014,0.00
1316,191.30,-0.004,0.00
1335,191.30,-0.007,0.00
1359,191.30,-0.002,0.00
1378,191.30,0.03,0.00
1397,191.30,0.016,0.00
1418,191.30,-0.006,0.00
1439,191.30,-0.008,0.00
1455,191.30,-0.003,0.00
1477,191.30,0.029,0.00
1497,191.30,0.018,0.00
1516,191.30,-0.004,0.00
1539,191.30,-0.007,0.00
1555,191.30,-0.003,0.00
1579,191.30,0.026,0.00
1595,191.30,0.02,0.00
1619,191.30,-0.004,0.00
1636,191.30,-0.008,0.00
1653,191.30,-0.002,0.00
1676,191.30,0.018,0.00
1692,191.30,0.022,0.00
1710,191.30,-0.004,0.00
1724,191.30,-0.008,0.00
1759,191.30,-0.003,0.00
1769,191.30,0.016,0.00
1786,191.30,0.029,0.00
1816,191.30,-0.003,0.00
1837,191.30,-0.004,0.00
1857,191.30,-0.003,0.00
1876,191.30,0.014,0.00
1897,191.30,0.03,0.00
1913,191.30,-0.002,0.00
1922,191.30,-0.004,0.00
1955,191.30,-0.003,0.00
1970,191.30,0.011,0.00
1995,191.30,0.03,0.00
2017,191.30,0.0,0.00
2037,191.30,-0.003,0.00
2056,191.30,-0.003,0.00
2068,191.30,0.008,0.00
2099,191.30,0.03,0.00
2116,191.30,0.004,0.00
2136,191.30,-0.003,0.00
2148,191.30,-0.003,0.00
2164,191.30,0.005,0.00
2197,191.30,0.032,0.00
2218,191.30,0.005,0.00
2238,191.30,-0.004,0.00
2257,191.30,-0.004,0.00
2275,191.30,-0.002,0.00
2285,191.30,0.03,0.00
2315,191.30,0.009,0.00
2331,191.30,-0.004,0.00
2346,191.30,-0.006,0.00
2377,191.30,-0.002,0.00
2394,191.30,0.025,0.00
2411,191.30,0.02,0.00
2427,191.30,-0.004,0.00
2454,191.30,-0.006,0.00
2475,191.30,-0.003,0.00
2491,191.30,0.025,0.00
2508,191.30,0.02,0.00
2536,191.30,-0.004,0.00
2557,191.30,-0.007,0.00
2574,191.30,-0.002,0.00
2594,191.30,0.024,0.00
2613,191.30,0.022,0.00
2634,191.30,-0.003,0.00
2657,191.30,-0.008,0.00
2676,191.30,-0.002,0.00
2694,191.30,0.022,0.00
2712,191.30,0.024,0.00
2727,191.30,-0.004,0.00
2754,191.30,-0.007,0.00
2775,191.30,-0.003,0.00
2796,191.30,0.018,0.00
2809,191.30,0.027,0.00
2836,191.30,-0.003,0.00
2855,191.30,-0.006,0.00
2873,191.30,-0.003,0.00
2893,191.30,0.007,0.00
2914,191.30,0.03,0.00
2933,191.30,-0.003,0.00
2949,191.30,-0.006,0.00
2972,191.30,-0.003,0.00
2994,191.30,0.003,0.00
3015,191.30,0.029,0.00
3032,191.30,0.008,0.00
3053,191.30,-0.003,0.00
3074,191.30,-0.004,0.00
3094,191.30,-0.001,0.00
3115,191.30,0.029,0.00
3136,191.30,0.01,0.00
3154,191.30,-0.004,0.00
3170,191.30,-0.004,0.00
3189,191.30,-0.002,0.00
3211,191.30,0.029,0.00
3232,191.30,0.014,0.00
3250,191.30,-0.004,0.00
3273,191.30,-0.006,0.00
3288,191.30,-0.002,0.00
3316,191.30,0.029,0.00
3333,191.30,0.015,0.00
3354,191.30,-0.004,0.00
3370,191.30,-0.008,0.00
3391,191.30,-0.002,0.00
3412,191.30,0.029,0.00
