Time,Length,Pressure,Force
1,164.40,0.015,0.00
4,164.30,0.015,0.00
4,164.30,0.016,0.00
5,164.30,0.016,0.00
5,164.30,0.016,0.00
6,164.40,0.015,0.00
8,164.40,0.015,0.00
8,164.40,0.015,0.00
9,164.40,0.015,0.00
11,164.30,0.015,0.00
11,164.30,0.016,0.00
11,164.30,0.016,0.00
12,164.30,0.016,0.0j
22,164.30,0.016,0.00
38,164.30,0.016,0.00
61,164.30,0.016,0.00
81,164.30,0.016,0.00
102,164.30,0.016,0.00
122,164.30,0.016,0.00
141,164.30,0.016,0.00
163,164.30,0.016,0.00
179,164.30,0.016,0.00
192,164.30,0.016,0.00
219,164.30,0.016,0.00
242,164.30,0.016,0.00
263,164.30,0.016,0.00
283,164.30,0.016,0.00
303,164.30,0.016,0.00
322,164.30,0.016,0.00
341,164.30,0.016,0.00
355,164.30,0.015,0.00
380,164.30,0.015,0.00
395,164.30,0.016,0.00
413,164.30,0.016,0.00
440,164.30,0.016,0.00
461,164.30,0.016,0.00
482,164.30,0.016,0.00
501,164.30,0.015,0.00
519,164.30,0.016,0.00
533,164.30,0.016,0.00
557,164.30,0.016,0.00
582,164.30,0.016,0.00
602,164.30,0.016,0.00
622,164.30,0.016,0.00
642,164.30,0.016,0.00
661,164.30,0.016,0.00
679,164.30,0.016,0.00
699,164.30,0.016,0.00
718,164.30,0.016,0.00
740,164.30,0.016,0.00
761,164.30,0.016,0.00
779,164.30,0.016,0.00
794,164.40,0.015,0.00
807,164.40,0.015,0.00
840,164.40,0.015,0.00
859,164.40,0.015,0.00
878,164.40,0.015,0.00
894,164.40,0.015,0.00
922,164.40,0.015,0.00
936,164.40,0.015,0.00
959,164.40,0.015,0.00
974,164.40,0.016,0.00
995,164.40,0.016,0.00
1020,164.50,0.015,0.00
1040,164.50,0.015,0.00
1060,164.50,0.015,0.00
1081,164.50,0.015,0.00
1102,164.50,0.015,0.00
1121,164.50,0.016,0.00
1134,164.50,0.015,0.00
1159,164.60,0.016,0.00
1175,164.60,0.016,0.00
1200,164.60,0.016,0.00
1207,164.60,0.016,0.00
1239,164.60,0.016,0.00
1261,164.70,0.016,0.00
1276,164.70,0.016,0.00
1297,164.70,0.016,0.00
1319,164.70,0.016,0.00
1334,164.70,0.016,0.00
1359,164.80,0.016,0.00
1376,164.80,0.016,0.00
1399,164.80,0.016,0.00
1415,164.80,0.016,0.00
1430,164.80,0.016,0.00
1446,164.90,0.016,0.00
1479,164.90,0.016,0.00
1497,164.90,0.016,0.00
1508,164.90,0.016,0.00
1540,164.90,0.016,0.00
1559,165.00,0.016,0.00
1580,165.00,0.016,0.00
1590,165.00,0.016,0.00
1614,165.00,0.016,0.00
1638,165.00,0.016,0.00
1659,165.10,0.016,0.00
1669,165.10,0.016,0.00
1686,165.10,0.016,0.00
1716,165.10,0.016,0.00
