Time,Length,Pressure,Force
16,0.0,0.203,0.0
2011,0.1,0.203,0.1
2032,0.2,0.205,0.0
2053,0.4,0.205,0.0
2065,0.6,0.203,0.1
2079,0.8,0.203,0.2
2095,0.9,0.203,0.5
2126,1.0,0.203,0.7
2158,1.1,0.205,0.9
2192,1.2,0.203,0.9
2212,1.3,0.203,0.9
2232,1.4,0.203,0.9
2249,1.5,0.203,1.0
2266,1.6,0.203,1.1
2280,1.7,0.203,1.2
2296,1.8,0.205,1.3
2331,1.9,0.205,1.4
2344,2.0,0.205,1.5
2359,2.1,0.205,1.5
2390,2.2,0.203,1.5
2406,2.3,0.205,1.7
2450,2.4,0.203,1.9
2470,2.5,0.203,2.0
2480,2.6,0.203,2.1
2496,2.7,0.205,2.2
2527,2.8,0.205,2.4
2543,2.9,0.205,2.7
2559,3.0,0.205,2.9
2574,3.1,0.205,3.1
2606,3.2,0.205,3.3
2621,3.3,0.205,3.4
2671,3.4,0.205,3.7
2691,3.5,0.206,3.9
2728,3.6,0.205,4.2
2744,3.7,0.205,4.3
2775,3.8,0.206,4.7
2807,3.9,0.205,4.8
2838,4.0,0.206,5.2
2871,4.1,0.205,5.3
2909,4.2,0.206,5.8
2929,4.3,0.206,6.0
2945,4.4,0.206,6.2
2976,4.5,0.207,6.6
3023,4.6,0.206,7.0
3039,4.7,0.207,7.2
3086,4.8,0.206,7.6
3109,4.9,0.207,7.8
3129,5.0,0.207,8.1
3146,5.1,0.207,8.4
3180,5.2,0.207,8.9
3228,5.3,0.207,9.3
3310,5.4,0.207,9.6
3363,5.5,0.207,10.0
3424,5.6,0.208,10.5
3466,5.7,0.208,10.9
3527,5.8,0.208,11.4
3568,5.9,0.208,11.7
3595,6.0,0.208,12.1
3641,6.1,0.208,12.6
3675,6.2,0.208,13.1
3723,6.3,0.208,13.6
3768,6.4,0.208,14.0
3795,6.5,0.209,14.5
3842,6.6,0.209,15.0
3867,6.7,0.209,15.2
3907,6.8,0.209,15.8
3923,6.9,0.209,16.2
3969,7.0,0.211,16.9
4006,7.1,0.211,17.5
4045,7.2,0.211,18.0
4076,7.3,0.211,18.5
4139,7.4,0.211,19.1
4157,7.5,0.212,19.4
4207,7.6,0.212,20.2
4228,7.7,0.212,20.7
4243,7.8,0.212,21.3
4274,7.9,0.213,22.1
4321,8.0,0.213,22.7
4352,8.1,0.213,23.4
4383,8.2,0.213,23.9
4408,8.3,0.213,24.5
4427,8.4,0.214,24.9
4446,8.5,0.214,25.5
4475,8.6,0.214,26.7
4497,8.7,0.214,26.4
4522,8.8,0.214,26.5
4553,8.9,0.216,27.7
4585,9.0,0.214,28.3
4625,9.1,0.216,29.3
4665,9.2,0.216,30.2
4693,9.3,0.216,31.0
4797,9.4,0.216,31.9
4886,9.5,0.217,32.6
4892,9.6,0.218,33.0
4939,9.8,0.218,34.4
4955,9.9,0.218,35.4
4972,10.0,0.218,36.6
5003,10.1,0.219,37.8
5157,10.2,0.219,38.6
5206,10.3,0.219,39.3
5257,10.4,0.219,40.8
5325,10.5,0.22,41.6
5406,10.6,0.22,42.4
5437,10.7,0.22,43.3
5453,10.8,0.22,43.8
5505,10.9,0.222,45.1
5525,11.0,0.222,45.8
5561,11.1,0.223,47.3
5575,11.2,0.223,47.9
5622,11.3,0.224,49.2
5657,11.4,0.224,50.3
5701,11.5,0.224,51.3
5743,11.6,0.224,52.3
5793,11.7,0.225,53.5
5854,11.8,0.225,54.5
5901,11.9,0.225,55.2
