Time,Length,Pressure,Force
11,0.0,0.6,0.0
2006,0.1,0.6,0.1
2031,0.2,0.602,0.4
2079,0.3,0.602,0.9
2095,0.4,0.602,1.1
2142,0.5,0.602,1.7
2157,0.6,0.602,2.1
2173,0.7,0.602,2.5
2223,0.8,0.603,3.3
2244,0.9,0.602,3.8
2263,1.0,0.603,4.3
2281,1.1,0.602,4.9
2301,1.2,0.603,5.4
2311,1.3,0.603,5.9
2343,1.5,0.603,6.6
2359,1.6,0.603,7.3
2384,1.8,0.603,8.1
2404,1.9,0.604,9.1
2424,2.1,0.603,10.0
2445,2.2,0.603,10.9
2498,2.3,0.604,12.3
2543,2.4,0.604,12.5
2562,2.5,0.605,13.0
2579,2.6,0.605,13.7
2624,2.7,0.604,14.9
2645,2.8,0.605,15.4
2665,2.9,0.605,15.8
2695,3.0,0.605,16.9
2713,3.1,0.605,17.5
2743,3.2,0.605,18.1
2758,3.3,0.605,18.8
2806,3.4,0.607,19.9
2825,3.5,0.607,20.4
2842,3.6,0.607,21.0
2862,3.7,0.607,21.8
2880,3.8,0.607,22.5
2896,3.9,0.608,23.1
2912,4.0,0.608,23.7
2943,4.1,0.608,24.5
2959,4.2,0.608,25.5
2985,4.4,0.608,26.5
2993,4.5,0.609,27.6
3022,4.6,0.609,28.8
3038,4.7,0.609,29.8
3062,4.8,0.609,30.8
3084,4.9,0.609,31.4
3114,5.0,0.609,32.1
3140,5.1,0.61,32.6
3161,5.2,0.609,33.3
3193,5.3,0.61,34.6
3208,5.4,0.61,35.3
3243,5.5,0.61,35.9
3283,5.6,0.61,37.2
3296,5.7,0.611,37.9
3314,5.8,0.611,38.8
3328,5.9,0.611,39.5
3360,6.0,0.611,40.3
3376,6.1,0.613,41.2
3392,6.2,0.613,42.2
3423,6.3,0.613,43.2
3441,6.5,0.613,44.3
3465,6.6,0.614,45.6
3481,6.7,0.613,46.9
3501,6.9,0.614,48.3
3514,7.0,0.614,49.6
3562,7.1,0.614,51.4
3641,7.2,0.615,51.7
3657,7.3,0.615,52.4
3702,7.4,0.615,53.6
3763,7.5,0.615,54.8
3776,7.6,0.615,55.3
3795,7.7,0.616,56.3
3808,7.8,0.616,57.4
3840,7.9,0.616,58.4
3856,8.0,0.618,59.2
3871,8.1,0.618,59.9
3903,8.2,0.618,60.8
3939,8.3,0.618,62.5
3960,8.4,0.619,63.2
3981,8.5,0.619,64.2
4001,8.6,0.619,65.3
4019,8.7,0.62,66.2
4063,8.8,0.619,67.6
4078,8.9,0.62,68.3
4094,9.1,0.62,69.4
4140,9.2,0.621,71.5
4160,9.3,0.621,72.2
4211,9.4,0.621,73.5
4258,9.5,0.621,74.1
4274,9.6,0.621,74.8
4289,9.7,0.622,76.0
4321,9.9,0.622,77.3
4341,10.0,0.622,78.6
4381,10.1,0.622,80.8
4397,10.2,0.624,81.4
4432,10.3,0.624,82.9
4461,10.4,0.625,83.6
4475,10.5,0.625,84.4
4507,10.6,0.625,85.8
4541,10.7,0.626,86.6
4579,10.8,0.625,88.1
4596,10.9,0.626,88.8
4614,11.0,0.626,89.6
4628,11.1,0.626,90.7
4659,11.2,0.627,91.9
4675,11.4,0.627,93.3
4692,11.5,0.629,94.7
4707,11.6,0.629,96.3
4741,11.7,0.63,97.7
4860,11.8,0.63,98.5
4875,11.9,0.629,99.0
4891,12.1,0.631,100.2
4907,12.3,0.631,102.1
4940,12.4,0.631,104.0
4954,12.5,0.632,105.4
4980,12.6,0.631,106.5
5020,12.7,0.633,108.4
5030,12.8,0.632,109.4
5062,12.9,0.633,110.2
5076,13.1,0.633,111.3
5092,13.2,0.635,112.8
5110,13.3,0.635,114.3
5139,13.4,0.636,115.6
5161,13.5,0.635,116.8
5201,13.6,0.636,118.5
5222,13.7,0.636,119.6
5228,13.8,0.636,120.7
5275,13.9,0.637,121.9
5291,14.0,0.637,122.5
5338,14.1,0.637,124.2
5353,14.2,0.638,125.1
5397,14.3,0.638,126.3
5418,14.5,0.64,127.5
5439,14.6,0.64,129.0
5459,14.7,0.64,130.4
5506,14.8,0.64,132.5
5558,14.9,0.641,133.6
5599,15.0,0.641,134.5
5639,15.1,0.641,135.4
5676,15.2,0.642,136.4
5708,15.3,0.643,137.7
5757,15.4,0.643,139.2
5771,15.5,0.643,140.1
5797,15.6,0.643,140.9
5836,15.7,0.643,142.7
5856,15.8,0.643,143.7
5875,15.9,0.646,144.7
5894,16.0,0.646,145.9
5909,16.2,0.647,147.3
5939,16.4,0.647,149.0
5971,16.5,0.648,152.6
6002,16.6,0.648,153.8
6076,16.7,0.648,154.6
6109,16.8,0.648,156.0
6187,17.0,0.648,156.9
6234,17.1,0.648,159.2
6278,17.2,0.648,159.9
6298,17.3,0.648,160.8
6309,17.4,0.651,162.3
6325,17.6,0.649,163.7
6356,17.7,0.651,165.1
6388,17.8,0.649,167.2
