Time,Length,Pressure,Force
10,0.0,0.603,0.0
3463,1.0,0.604,1.1
3679,2.0,0.604,4.1
3983,3.0,0.605,7.8
4182,4.0,0.607,12.1
4383,5.0,0.608,17.5
4642,6.0,0.609,24.4
4915,7.0,0.611,31.8
5175,8.0,0.614,40.6
5459,9.0,0.618,49.8
5608,10.0,0.62,59.9
5841,11.0,0.622,69.0
6089,12.0,0.626,79.2
6307,13.0,0.629,89.8
6537,14.0,0.633,101.7
6780,15.0,0.637,113.0
6972,16.1,0.641,124.8
7309,17.1,0.646,136.4
7497,18.1,0.649,149.5
7790,19.1,0.651,161.7
8023,20.1,0.653,173.7
8316,21.1,0.652,184.5
8517,22.1,0.654,195.9
8717,23.1,0.654,207.8
8955,24.1,0.653,218.6
9207,25.1,0.653,231.0
9521,26.1,0.652,241.6
9703,27.1,0.655,254.0
9951,28.2,0.653,267.3
10273,29.2,0.653,281.1
10591,30.2,0.652,294.3
10912,31.2,0.653,306.9
11203,32.2,0.652,319.4
11469,33.2,0.653,334.3
11769,34.2,0.653,347.7
11990,35.2,0.655,362.4
12316,36.2,0.654,376.2
12504,37.2,0.655,390.1
12845,38.2,0.654,402.3
15282,38.1,0.635,386.2
15483,37.1,0.625,361.2
15803,36.0,0.614,339.4
16081,35.0,0.605,315.8
16380,33.9,0.599,297.2
16478,32.9,0.597,282.8
16839,31.9,0.602,272.1
17179,30.9,0.6,261.5
17509,29.9,0.602,247.2
17699,28.9,0.599,234.0
17858,27.9,0.599,222.2
18196,26.9,0.6,211.9
18457,25.9,0.6,199.6
18809,24.9,0.602,189.9
19041,23.9,0.602,177.3
19211,22.9,0.599,166.1
19475,21.9,0.602,156.4
19659,20.9,0.6,146.4
20025,19.9,0.603,136.3
20435,18.9,0.602,125.6
20706,17.9,0.602,115.4
21053,16.9,0.602,105.4
21346,15.8,0.602,95.5
21684,14.8,0.6,85.3
21960,13.8,0.602,76.2
22175,12.8,0.6,66.4
22438,11.8,0.602,57.7
22841,10.8,0.602,48.8
23281,9.8,0.602,41.0
23584,8.8,0.602,31.6
23937,7.8,0.603,23.8
24223,6.8,0.603,17.2
24543,5.8,0.603,10.8
24985,4.8,0.604,6.3
25331,3.8,0.604,3.3
25625,2.8,0.604,1.0
26063,1.7,0.603,0.4
26383,0.7,0.604,1.1
