Time,Length,Pressure,Force
1,0.0,0.5,0.0
2209,1.0,0.503,6.8
2463,2.0,0.505,15.1
2729,3.0,0.508,23.3
2974,4.0,0.51,31.8
3226,5.0,0.512,41.0
3487,6.0,0.516,50.6
3762,7.0,0.52,60.0
3979,8.0,0.523,69.5
4242,9.1,0.527,79.6
4585,10.1,0.531,90.6
4924,11.1,0.534,101.5
5160,12.1,0.539,111.9
5425,13.1,0.544,122.5
5712,14.1,0.548,134.4
6084,15.1,0.548,144.1
6270,16.1,0.549,154.3
6859,17.1,0.547,161.5
7042,18.1,0.55,174.1
7257,19.1,0.549,183.8
7503,20.1,0.549,193.3
7836,21.1,0.548,202.8
7999,22.1,0.55,213.9
8206,23.1,0.549,225.6
8554,24.1,0.548,235.9
8833,25.1,0.549,246.7
9155,26.1,0.548,257.5
9404,27.1,0.55,269.7
9835,28.2,0.548,279.2
11600,28.1,0.536,271.8
11800,27.1,0.527,251.4
12047,26.1,0.52,234.7
12248,25.1,0.511,216.1
12483,24.1,0.504,201.5
12681,23.0,0.497,185.5
12882,22.0,0.493,171.6
13149,21.0,0.497,162.7
13509,20.0,0.497,153.9
13747,18.9,0.495,143.9
13886,17.9,0.494,133.5
14246,16.9,0.497,125.8
14587,15.8,0.497,115.8
14865,14.8,0.497,106.6
15065,13.8,0.495,98.1
15281,12.8,0.497,89.1
15663,11.8,0.498,81.1
16022,10.8,0.497,72.9
16302,9.8,0.497,64.7
16503,8.8,0.497,55.5
16858,7.8,0.497,48.6
17321,6.8,0.498,40.9
17738,5.8,0.498,33.4
18019,4.8,0.497,26.1
18324,3.8,0.498,18.3
18590,2.8,0.498,11.6
18973,1.7,0.497,4.6
19275,0.7,0.498,0.9
